Time,L_S,A,B,C,D,E
49811.58333330181,449.9226011511153,10.866025502829071,14.95118526024378,863.3776184522097,857.8315164872603,867.1592575727743
49811.62499996847,449.94045465224644,10.707106921250263,14.563025276603172,877.5661852610986,868.3019869667819,877.0247348679236
49811.66666663514,449.9583081533776,10.500000171584702,13.969016246328481,886.2120219282154,874.9780073097245,883.0957620264938
49811.7083333018,449.9761616545087,10.258819236471437,13.221599462051364,886.447557428774,876.0949220432157,883.6076835756127
49811.749999968466,449.99401515563983,10.00000019816862,12.382797376217724,880.5714425998339,873.5021607606449,880.4099291086695
49811.79166663513,450.01186865677096,9.741181146304713,11.519796914817192,874.2567147030005,871.2392959640312,877.5420711276835
49811.833333301794,450.02972215790203,9.500000171603006,10.700199035422784,871.934210549974,872.017600377929,877.715382357209
49811.87499996846,450.04757565903316,9.292893358961328,9.987261199178294,873.5566985481964,874.8539555999632,879.9467443948708
49811.91666663512,450.0654291601643,9.133974695310444,9.435459553174427,875.5035688743469,876.1015012966113,880.5892969071466
49811.95833330179,450.0832826612954,9.034074225018893,9.086675427136955,874.3823575637809,872.9052805440767,876.7880829702398
49811.99999996845,450.10113616242654,9.00000000000002,8.96726775294359,869.8769642751806,865.8019910055226,869.0798002473133
49812.041666635116,450.1206792608155,9.034074122392743,9.086232177280621,864.0634171294956,858.0496720554352,861.5624710990312
49812.08333330178,450.14022236048373,9.133974497081054,9.434573080990125,858.3486788782515,852.3739929899584,856.1217824713664
49812.124999968444,450.159765460152,9.292893078622635,9.985931557568165,851.5632773341022,848.5728057247527,852.5555856439724
49812.16666663511,450.17930855982024,9.499999828259629,10.698426299250436,841.3880782417631,844.0390418928695,848.2568122499011
49812.20833330177,450.1988516594885,9.741180763354938,11.51758117557494,827.6679029490897,836.7620078031366,841.2147685979801
49812.24999996844,450.2183947591568,9.999999801651631,12.3801387356896,814.0215781816257,827.7531146580932,832.4408658907485
49812.2916666351,450.23793785882503,10.25881885352166,13.218498025919938,805.7439089307501,820.5021274888217,825.4248691592888
49812.333333301765,450.2574809584933,10.499999828190917,13.965472115619734,805.7466205234145,818.0486895583604,823.2064216666394
49812.37499996843,450.27702405816154,10.70710664091157,14.559038542036376,812.3942518719115,820.5819426283177,825.9746651744085
49812.416666635094,450.2965671578298,10.866025304599681,14.94675599485474,821.3546206682637,825.8485139359182,831.4762269198209
49812.45833330176,450.31611025749805,10.965925774934584,15.089543004897042,829.6650638592104,831.7484417052315,837.611145126946
49812.49999996842,450.33565335716634,10.99999999999998,14.964557617036228,838.0196121272072,838.3041915035325,844.4018853630588
49812.54166663509,450.3551964568346,10.965925877653778,14.566978101639549,849.047679711926,846.933725046347,853.2664093436853
49812.58333330175,450.37473955650285,10.86602550300882,13.910559517921863,863.3776184314282,857.8658782095581,864.4335529447081
49812.624999968415,450.39428265617113,10.707106921504469,13.026924300580468,877.5661852434268,868.5966204804718,875.3992856534335
49812.66666663508,450.41382575583935,10.500000171896039,11.963631312861166,886.2120219220274,875.3225900616401,882.3602456724138
49812.70833330174,450.43336885550764,10.258819236818686,10.7811511237322,886.4475574337866,876.2099940335899,883.4826400821754
49812.74999996841,450.45291195517586,10.000000198528118,9.548949939091917,880.5714426095834,873.2861062769019,880.7937427632993
49812.79166663507,450.47245505484415,9.741181146651964,8.34094555031907,874.2567147097399,870.8715493244538,878.6141762486631
49812.833333301736,450.49199815451243,9.50000017196475,7.230641726176994,871.9342105498947,871.8004147799413,879.7780321419624
49812.8749999684,450.51154125418066,9.292893359215531,6.286269684455892,873.5566985447504,874.9278932597506,883.1405010595836
49812.916666635065,450.53108435384894,9.133974695490194,5.566265174479125,875.5035688731939,876.3047870428807,884.7523852805255
49812.95833330173,450.55062745351717,9.034074225111938,5.115387221636532,874.3823575679614,872.9193013133529,881.6018899888095
49812.99999996839,450.57017055318545,9.00000000000002,4.961741309730636,869.876964283423,865.4489923546408,874.3665714679094
49813.04166663506,450.58679272118394,9.0340741222997,5.114908609562867,864.0634171374963,857.5067351070225,865.7831914311391
49813.08333330172,450.6034148869667,9.133974496901304,5.565307979740356,858.348678886294,851.9723056888837,859.6076385592617
49813.124999968386,450.62003705274947,9.292893078327271,6.284833963418501,851.5632773455606,848.4438033519671,855.4380127686063
49813.16666663505,450.6366592185322,9.499999827948294,7.228727559233975,841.3880782585749,844.0352207336307,850.3883066965312
49813.208333301714,450.653281384315,9.741180763007689,8.338553036362208,827.6679029690756,836.6540660116545,842.3660285208163
